requirement_id,requirement,priority,screens,severity
"F01","Load operational universe only through current universe pointer","MUST","all","P1"
"F02","Load scoring only through current scoring pointer contract","MUST","S01/S04","P1"
"F03","Fail closed and render catalog fallback on any scoring check failure","MUST","S01/S04","P1"
"F04","Never auto-load the v2.25B diagnostic artifact","MUST","S04","P1"
"F05","Require explicit diagnostic acknowledgement per session","MUST","S04","P1"
"F06","Hide dry_run_rank, top/bottom and score sorting in diagnostic mode","MUST","S04","P1"
"F07","Search by name, ticker and ISIN","MUST","S02","P2"
"F08","Filter country, exchange/MIC, currency, asset type, provider and metadata quality","MUST","S02","P2"
"F09","Paginate/virtualize the 43,089-row catalog","MUST","S02","P2"
"F10","Preserve unknown metadata as explicit filter values","MUST","S02","P2"
"F11","Open an asset detail without losing filter context","SHOULD","S02/S06","P2"
"F12","Create, load, rename and describe watchlists","MUST","S03","P2"
"F13","Add asset using stable identity and prevent duplicates","MUST","S02/S03","P1"
"F14","Reject ambiguous ticker selection until exchange is chosen","MUST","S02/S03","P1"
"F15","Support CSV watchlist import with row-level result summary","MUST","S03","P2"
"F16","Support tags, notes, remove, archive and validation","MUST","S03","P2"
"F17","Export injection-safe watchlist CSV","MUST","S03","P1"
"F18","Generate universe and watchlist reports in Markdown/HTML","MUST","S05","P2"
"F19","Create and expose provenance manifest for every report","MUST","S05","P1"
"F20","Show export pack catalog and distinguish design/implemented/blocked","MUST","S05","P2"
"F21","Show current provider 13/14 and 2,013-row maintenance gap","MUST","S01/S07","P2"
"F22","Show pointer/dataset hashes in an expandable provenance panel","SHOULD","S01/S07","P2"
"F23","Keep maintenance actions read-only unless an explicit gate workflow is entered","MUST","S07","P1"
"F24","Provide Spanish UI copy with stable technical identifiers","MUST","all","P2"
"F25","Offer a persistent 'No es asesoramiento financiero' disclosure","MUST","all","P1"
"F26","Do not expose broker actions, buy/sell signals or allocations","MUST","all","P1"
"F27","Do not run OpenAI, yfinance, provider fetches or pipeline jobs on initial page load","MUST","all","P1"
"F28","Cache pointer-safe reads with source hash as cache key","SHOULD","all","P2"
"F29","Expose human-readable errors without stack traces or secrets","MUST","all","P1"
"F30","Keep existing CLI tools usable independently of UI","MUST","S03/S04/S05","P2"
